product_id,category,gender,product_url,product_name,brand,price,original_price,discount_percent,rating,reviews,price_tier,image_url,image_path,source_platform
700528026_black,Shoes,Women,/selfiee-women-ankle-length-boots-with-zip-closure/p/700528026_black?,Women Ankle-Length Boots with Zip Closure,Selfiee,1059.0,,(47% off),0,0,affordable,,,Ajio
469682968_black,Shoes,Women,/steppings-women-slip-on-ankle-length-boots/p/469682968_black?,Women Slip-On Ankle-Length Boots,Steppings,600.0,,(85% off),0,0,affordable,,,Ajio
410485612_484,Shoes,Women,/dune-london-women-pepi-boots/p/410485612_484?,Women Pepi Boots,Dune London,5600.0,,(60% off),0,0,mid,,,Ajio
700130660_cream,Shoes,Women,/selfiee-women-ankle-length-boots-with-zip-closure/p/700130660_cream?,Women Ankle-Length Boots with Zip-Closure,Selfiee,855.0,,(62% off),0,0,affordable,,,Ajio
469537070_black,Shoes,Women,/everqupid-women-block-heel-chelsea-boots/p/469537070_black?,Women Block Heel Chelsea Boots,Everqupid,1200.0,,(75% off),0,0,affordable,,,Ajio
410034209_514,Shoes,Women,/dune-london-women-taylyn-boots/p/410034209_514?,Women Taylyn Boots,Dune London,16200.0,,(10% off),0,0,expensive,,,Ajio
700336244_black,Shoes,Women,/flat-n-heels-women-knee-length-slip-on-boots-/p/700336244_black?,Women Knee-Length Slip-On Boots,Flat n Heels,1260.0,,(82% off),0,0,affordable,,,Ajio
700636240_black,Shoes,Women,/jm-looks-women-ankle-length-boots-with-zip-closure/p/700636240_black?,Women Ankle-Length Boots with Zip Closure,JM LOOKS,818.0,,(59% off),0,0,affordable,,,Ajio
700705738_brown,Shoes,Women,/shoetopia-women-boots-with-synthetic-upper/p/700705738_brown?,Women Boots with Synthetic Upper,Shoetopia,779.0,,(61% off),0,0,affordable,,,Ajio
466306150_black,Shoes,Women,/shoetopia-ankle-length-boots-with-zip-closure/p/466306150_black?,Ankle-Length Boots with Zip-Closure,Shoetopia,588.0,,(71% off),0,0,affordable,,,Ajio
410487827_509,Shoes,Women,/dune-london-womens-booties-perception-boots/p/410487827_509?,Womens Booties Perception Boots,Dune London,4000.0,,(60% off),0,0,mid,,,Ajio
410486031_017,Shoes,Women,/steve-madden-traction-ankle-length-boots/p/410486031_017?,Traction Ankle-Length Boots,STEVE MADDEN,9000.0,,(55% off),0,0,expensive,,,Ajio
